country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Colombia,COL,2000,1313000000.0,707000.0,8.30662252233001,1235000.0,10.0290108150725,99875074951.0278,9.22534818585366,20.52
Cyprus,CYP,2000,2137000000.0,2912000.0,42.5783030988759,588000.0,10.5603034639185,9985847313.85485,4.14165764702061,4.766
Germany,DEU,2000,24943000000.0,18983000.0,4.27373152780241,80507000.0,9.94025667176307,1966980701145.1,1.44026838719741,7.917
Dominican Republic,DOM,2000,2860000000.0,3161000.0,48.4597919278864,360000.0,5.64877460105529,24305780628.6677,7.72413566181616,6.432
Europe & Central Asia,ECS,2000,227630638007.444,746290155.854025,7.31924063488464,457405981.173266,7.71102683999424,10077566274954.8,3.77538829151734,9.19900020145069
Ecuador,ECU,2000,451000000.0,627000.0,7.63630520762304,520000.0,8.44381155674129,17539454727.3637,96.0963756926096,4.8
Estonia,EST,2000,657000000.0,3310000.0,18.7527506939328,1800000.0,6.86513925895877,5686579747.53524,4.01848952508763,13.36
European Union,EUU,2000,181197546990.802,650173237.851912,7.61661490052138,325163288.816673,7.83612753092873,7288425137833.71,3.15076707022592,9.70156455676986
Georgia,GEO,2000,107000000.0,387000.0,12.6436495923834,315000.0,9.85208561569178,3057475335.18846,4.06396201382596,10.82
High income,HIC,2000,406354078434.265,929784135.733136,6.86036668571943,644643750.290246,6.89348845651294,28051786134447.0,2.68684736744012,7.12611177375602
"Hong Kong SAR, China",HKG,2000,8198000000.0,13059000.0,3.78938300575514,58901000.0,5.98826350785657,171668891194.349,-3.68550368550369,4.92
Hungary,HUN,2000,3809000000.0,31141000.0,11.9364512465066,11065000.0,5.11457412915401,47218405892.4258,9.80361016908125,6.563
India,IND,2000,3598000000.0,2649000.0,6.00350085316649,4416000.0,5.0441194697309,468395521654.458,4.0094359104519,2.731
Israel,ISR,2000,4611000000.0,2672000.0,9.89671869365889,3530000.0,7.97746734110778,136225025139.185,1.03264094955491,11.102
Italy,ITA,2000,28712000000.0,62702000.0,9.79239736335757,44628000.0,6.4007322486929,1149661363439.38,2.53768532095002,10.834
Jordan,JOR,2000,935000000.0,2700000.0,26.4204296361245,1625000.0,6.6773679375265,8460789844.8519,0.66688092559796,13.7
Japan,JPN,2000,5970000000.0,4757000.0,1.13991525916592,17819000.0,9.37967536294178,4968359075956.59,-0.676578683595175,4.748
Cambodia,KHM,2000,345000000.0,466000.0,18.8983080879261,41000.0,2.29757731216814,3694168979.32019,-0.791992529473567,2.764
"Korea, Rep.",KOR,2000,8527000000.0,5322000.0,4.21961599366588,5508000.0,4.23658317567236,576179387819.613,2.25916580080157,4.063
Kuwait,KWT,2000,394000000.0,1944000.0,1.84965449226123,1236000.0,25.0782719124744,37718743480.0751,1.81294613887089,0.8
Sri Lanka,LKA,2000,388000000.0,445000.0,6.08316230354116,524000.0,4.72547289692312,16330814179.9766,6.17627591012045,7.74
Latvia,LVA,2000,172000000.0,1882000.0,7.34163582745434,2596000.0,10.1134778434638,7761252607.18424,2.65425477796048,14.211
Morocco,MAR,2000,2280000000.0,4458000.0,25.760131403362,1508000.0,4.62349277383786,43017455401.8445,1.89463456763464,13.58
Mexico,MEX,2000,9133000000.0,105673000.0,5.07738339916988,127268000.0,3.31825163203502,742061329643.37,9.49156149435403,2.646
Malaysia,MYS,2000,5873000000.0,10222000.0,5.23037420281402,30532000.0,2.69766644622073,93789736842.1053,1.53474023697699,3.0
North America,NAC,2000,150812611349.687,127520000.0,9.30781893664003,115824362.923713,5.78488323401561,10999205634931.6,3.04814861420952,4.27583239142118
Netherlands,NLD,2000,11285000000.0,10003000.0,4.56637612243135,13896000.0,5.89960692936136,417649282153.726,2.36052233801948,2.725
Norway,NOR,2000,2521000000.0,3104000.0,3.22747415952152,2394000.0,9.88967033468476,171457201935.968,3.08550609131276,3.458
New Zealand,NZL,2000,2272000000.0,1787000.0,12.2027637723757,1283000.0,7.10942616903238,52623281956.7031,2.6152344624632,6.13
OECD members,OED,2000,394530923898.769,914409802.004406,7.11080619314297,679677027.63319,6.94137531350573,27681866522254.6,3.06380344899535,6.72563513584098
Panama,PAN,2000,628000000.0,600000.0,8.01746479592488,216000.0,2.96717638078353,11966497000.0,1.49896111605777,13.53
Philippines,PHL,2000,2334000000.0,1992000.0,8.49932631732275,1670000.0,5.21500198289049,83669788254.7279,3.9771250324928,11.189
Poland,POL,2000,6128000000.0,84515000.0,13.2351353102525,56677000.0,5.97325408618128,172953527033.013,9.90017538843064,14.928
Paraguay,PRY,2000,88000000.0,3924000.0,2.28574902363212,175000.0,4.87301677710062,8855705139.55857,8.98215976750022,7.61
Post-demographic dividend,PST,2000,378601015467.385,745500956.77357,6.84123693586094,557051074.347646,6.89352987379936,26410348658112.3,2.57987611218614,6.38028964779168
Romania,ROU,2000,394000000.0,5264000.0,3.30953380932381,6388000.0,3.2309360318034,37253739511.1273,45.6665940440238,6.969
Singapore,SGP,2000,5142000000.0,7691000.0,2.8414964959783,4444000.0,2.68172179200985,96076539925.7409,1.36162392448454,3.7
El Salvador,SLV,2000,437000000.0,867000.0,17.4179919486628,923000.0,4.88468572958023,11784927700.0,2.27128756828723,6.96
Thailand,THA,2000,9935000000.0,9579000.0,12.1511436165526,1909000.0,4.49107273073699,126392224253.794,1.59196917460972,2.389
Tunisia,TUN,2000,1977000000.0,5058000.0,23.0998290853294,1632000.0,3.3465529915203,21473528160.7782,2.96230794738605,14.94
Uruguay,URY,2000,827000000.0,2236000.0,22.5980499242548,667000.0,9.08723674729773,22823270892.1094,4.76382472733251,12.627
United States,USA,2000,118316000000.0,78343000.0,10.9252217529332,87973000.0,5.8851024781589,10250952000000.0,3.37685727149929,3.992
World,WLD,2000,596264818678.01,1332379078.84286,7.05006545185361,1122419166.95385,6.71221347938065,33855853033266.6,3.43351563418767,5.52237939107349
Albania,ALB,2001,451000000.0,354000.0,68.5202066241264,955000.0,16.8641464484985,3922100793.5403,3.10758827031434,16.4
Australia,AUS,2001,11333000000.0,4856000.0,13.8926188612151,3443000.0,10.2972303701868,379629301675.108,4.40713536201469,6.747
Azerbaijan,AZE,2001,57000000.0,767000.0,2.40632026349629,1130000.0,5.58704069478372,5707616203.72011,1.5471959015228,10.91
Bulgaria,BGR,2001,1262000000.0,5104000.0,17.4122981494997,2730000.0,9.7485003001914,14183446025.7389,7.36093927231844,19.921
Belarus,BLR,2001,272000000.0,1852000.0,3.47239953020477,4008000.0,5.73999929135811,12354820143.8849,61.1349331618477,2.3
Bolivia,BOL,2001,119000000.0,316000.0,7.82535249429941,222000.0,5.75919356740515,8141516928.39489,1.58965377879568,5.24
Brazil,BRA,2001,1844000000.0,4773000.0,2.76620876367408,2674000.0,5.09595908194253,559983634798.981,6.84035902487523,10.649
Central Europe and the Baltics,CEB,2001,20609434979.3854,182538824.414625,11.288538270195,102537633.291289,5.34180279430796,469451337133.573,5.74827981651373,13.2419475498642
China,CHN,2001,19006000000.0,89013000.0,9.11244078783346,12133000.0,8.30636939851957,1339400897105.11,0.719125609120114,3.6
Colombia,COL,2001,1483000000.0,788000.0,9.84526279544197,1381000.0,9.70460801647049,98200641203.3892,7.96556090304834,15.04
Costa Rica,CRI,2001,1480000000.0,1320000.0,22.7438793004657,361000.0,6.68910472759352,15976174336.9721,11.2556157091172,6.051
Cyprus,CYP,2001,2203000000.0,2841000.0,41.4466970399496,684000.0,10.9925721780318,10397898907.1038,1.97304191729914,4.043
Germany,DEU,2001,24182000000.0,17861000.0,4.01601998108701,81551000.0,9.8804677469079,1966381496641.73,1.98385731334471,7.773
Dominican Republic,DOM,2001,2798000000.0,3090000.0,50.3219308657962,331000.0,5.87276144152111,25601823687.5742,8.88306848812961,7.262
Europe & Central Asia,ECS,2001,225883823565.694,714973123.417569,6.98978843015507,453096545.815036,7.7441585688319,10181970704338.6,4.26287228873703,8.61597154424379
Ecuador,ECU,2001,438000000.0,641000.0,7.7065693107817,562000.0,7.03305514246521,23127055000.0,37.6767454518094,4.252
Estonia,EST,2001,661000000.0,3230000.0,16.8084471149882,1658000.0,6.22780878488403,6250218422.70164,5.74827981651373,13.135
European Union,EUU,2001,178908884267.063,616082121.152082,7.35832081932166,321405896.954904,7.67624205125995,7407567318765.1,3.37396832213867,9.20817800075283
Georgia,GEO,2001,136000000.0,302000.0,15.7045695263372,306000.0,10.3679230159195,3219462262.0075,4.64604442058634,11.16
High income,HIC,2001,387844332293.838,884986859.968615,6.7311235000064,639396289.906974,7.03135970467744,27827867729175.2,2.62661472298117,6.95732151109314
"Hong Kong SAR, China",HKG,2001,7923000000.0,13725000.0,3.80955175691424,61096000.0,6.15752426286301,169404327616.605,-1.65816326530609,5.09
Hungary,HUN,2001,4191000000.0,30679000.0,11.8572387369156,11167000.0,5.24796948102701,53749989092.0197,9.11680911680911,5.671
Israel,ISR,2001,2854000000.0,1219000.0,7.05043009105776,3561000.0,8.90580286259586,134620909004.446,1.1513157894737,11.812
Italy,ITA,2001,26924000000.0,60960000.0,8.99335490663759,43611000.0,5.95430771847889,1172041488805.87,2.78516542713554,9.599
Jordan,JOR,2001,884000000.0,3034000.0,23.3744997529595,1755000.0,6.96839782274832,8975814652.8196,1.77220437351017,14.7
Japan,JPN,2001,5750000000.0,4772000.0,1.29560159226122,16216000.0,8.51271641187322,4374711694090.87,-0.740055504162738,5.02
