tourism_arrivals,gdp,inflation,unemployment,year
599000.0,17339992193.7322,3.34645420142014,2.973,2009
21339000.0,1222645900055.7,11.6473295764118,8.301,2009
6815000.0,255806908594.573,-0.692030271024132,24.673,2004
245000.0,6146353173.34929,6.41504018369684,4.0,2005
507000.0,1061000000.0,0.0,8.22,2005
379000.0,482009370.37037,0.577427638677119,0.0,1999
1061000.0,7654761573.54991,10.2710182318876,0.0,2012
0.0,2842065708.35962,0.0,10.3,2014
31072000.0,2412840006231.5,1.96173173560109,7.683,2009
10926000.0,210147385855.419,1.3390212110439,4.927,2017
529427962.309045,12706137822416.0,6.17780683499409,0.0,2007
835000.0,18405220247.4412,7.28587366610134,0.0,2001
57000.0,688918537.115555,0.0,0.0,1999
0.0,1169136716.03557,0.0,8.82,2002
762000.0,2951342793.29609,2.77944261312587,0.0,2010
465000.0,24040211327.4898,1.88038440183532,0.0,2017
8355000.0,461044767544.531,0.561429152790065,8.482,2015
10407000.0,860854232717.718,6.36312113115612,4.514,2015
157000.0,1415004738.26621,4.25432199813899,10.346,2012
25948000.0,319109094160.343,3.87120115774237,3.41,2017
263000.0,2919647981.81473,0.0,0.0,2002
19100.0003814697,242517200.0,-0.111442426432945,0.0,2002
0.0,19063143369.858,10.8447986914257,15.7,2006
0.0,74263364041.8742,31.2558951049016,3.084,2022
539000.0,3480219000.0,0.0,2.71,2000
13319000.0,429097866666.667,5.05722314693633,5.377,2009
0.0,26930980.3429002,0.0,0.0,2000
6353000.0,1873288205186.45,3.73297621216894,11.936,2019
0.0,2117962450.79469,6.34221743124953,0.0,2023
0.0,593438820508.173,9.597511728725,5.57,2022
1046000.0,65712180342.9836,1.73079959118887,5.523,2017
87129000.0,1213294467716.88,2.72064064964023,4.311,2015
0.0,36878123654872.8,5.93947798773215,0.0,2023
2225000.0,92699089726.9181,1.01401483924156,0.0,2014
0.0,0.0,379.999585624026,0.0,2016
10100000.0,305733136180.907,0.0201247735963237,8.374,2016
31141000.0,47218405892.4258,9.80361016908125,6.563,2000
1384000.0,40676578423.4871,3.85950909833173,3.497,2010
12199.9998092651,226455001.243083,14.3271667616801,0.0,2011
431000.0,7536402852.85802,0.0,0.0,2017
165767000.0,5056165834541.36,2.53781710390567,7.66517827869882,2016
0.0,50007428571.4286,0.0,0.0,2021
0.0,869111111.111111,-0.628131309354654,0.0,2020
0.0,495645210972.751,6.07741228434321,0.94,2022
876000.0,6992700101.37188,0.674652770077436,2.036,2019
0.0,19697516284.3787,3.65353287214209,0.0,2021
2435000.0,4244000000.0,0.0,0.0,2008
1407000.0,28378933680.104,0.624969062631367,0.0,2004
342000.0,1919008090.49641,2.97461295184355,9.92,2003
36704327.0214213,1225403057803.24,5.00627361534043,0.0,2009
71605647.798736,2151877377687.87,3.37153003512095,0.0,2016
0.0,375745731053.427,16.5022662139641,8.389,2017
1420000.0,12881352893.6855,3.32087090389264,13.06,2008
174291750.0,19612102000000.0,2.13011000365961,4.355,2017
0.0,19423355409.2316,6.47413734662063,3.022,2023
0.0,4277903780.29131,9.92953399348781,0.0,1999
15600.0003814697,753162998.015113,4.61743772241997,0.0,2007
0.0,4462029108.72349,0.0,0.0,2002
2478000.0,17320551250.0,2.28621706801675,4.77,2004
2131000.0,9719009494.84779,7.07635009310985,14.191,2002
22926433.4292146,562596341824.35,5.67941771099112,0.0,2003
382000.0,6384452066.5146,2.89235662459004,0.0,2006
0.0,8800430486.17137,0.0,0.0,2022
1551000.0,10722018732.0936,6.72858234593338,23.352,2016
5058000.0,21473528160.7782,2.96230794738605,14.94,2000
1084000.0,11121464437.0415,5.78966778544651,16.576,2013
0.0,15651545208.8783,3.02272119663769,0.0,2020
13479000.0,415964509673.115,4.16782330119979,5.734,2007
19068517.6045939,565719952141.474,6.4293968107234,0.0,2011
0.0,0.0,0.0,0.0,2001
330000.0,15280861834.6024,12.2994763114825,0.0,2006
1082000.0,2359686724.53829,3.21844513655931,0.0,2015
0.0,2898227743.13545,5.63916671396365,5.947,2022
576000.0,15211487708.7684,5.30356621509782,0.0,2003
8612000.0,4229000000.0,0.0,0.0,2020
720000.0,1135555555.55556,3.89827370759476,18.7,2005
2574000.0,3798000000.0,0.0,0.0,2016
1080304353.78184,46369277858534.2,1.40858109183019,7.93638193435988,2013
47057081.1040025,171152209656.815,4.46616710098134,0.0,2007
6000.0,213700000.0,0.0,0.0,2017
0.0,1633319401.19414,5.88585897042164,0.0,2023
0.0,189514933333.333,-1.12499477854774,4.57,2000
227000.0,814303703.703704,-0.149641647633284,0.0,2016
175000.0,21295168665.7247,4.53720508166972,0.0,2012
869779367.121323,21103185874675.8,2.42447361791627,9.1561360435499,2010
0.0,23131941556.7843,154.756096023393,0.0,2021
0.0,35917683987563.7,8.27328940087841,0.0,2022
0.0,3319596500.0,26.9662760197878,0.0,2019
9043190.15516333,190150834251.026,3.8957052575849,0.0,2002
514000.0,6387422517.69225,-0.981889868943119,3.744,2017
0.0,108038588970.595,7.67139634029402,0.0,2023
75796000.0,9631172000000.0,2.18802719697358,4.219,1999
2524000.0,11244337719.8377,2.94264752948473,12.061,2003
0.0,14960291105.9316,1.8903591682421,21.017,2020
39516963.5989652,164528470500.479,3.04028907921715,0.0,2013
981136584.590932,43544880126620.2,4.15279708110293,5.83701724911074,2008
1364524985.83971,54179480252802.3,1.74071267870181,5.39238037283136,2019
7449000.0,1351296372254.31,1.50836672165921,6.055,2015
73537448.5169442,497108250027.864,4.95061559256827,8.60498086774043,2003
2850000.0,47112470051.7701,2.26854690373999,4.9,2018
10522000.0,577730245154.162,-0.179638494114635,7.954,2014
0.0,3326853435.59832,11.6499744518106,0.0,2007
16999106.6549042,503960980772.061,7.9051177898873,0.0,2007
280000.0,331759259.259259,1.17947787394175,15.67,1999
102000.0,314471413.001776,3.01624129930394,0.0,2003
0.0,1552753180082.25,5.21404940513043,10.484426077615,2021
17299.9992370605,942879878.538879,5.00045438022541,3.13,2006
0.0,132908336234.295,10.5319476645211,5.841,2023
0.0,460131688909.301,7.69695437176898,4.593,2022
374000.0,1138900000.0,3.06743966930585,0.0,2000
0.0,1501941580.88903,0.0,3.85,2003
14150000.0,281710630187.319,-0.845716092316721,1.49,2009
743016204.714531,15876630398615.8,3.28944939564211,9.92065846048359,2011
4467000.0,234772463823.808,6.75731719362853,6.658,2003
234000.0,2451606632.29246,7.93795807492418,0.0,2013
4736000.0,147379737229.753,10.5827097865144,1.75,2008
13107000.0,2039126479154.52,6.66565671867899,0.0,2014
1755720045.79761,66609708734786.2,3.32634463368643,5.48604759105802,2010
6037000.0,122023735992.706,6.55851412276983,7.27,2006
4844000.0,11074813829.7872,1.59362549800787,0.0,2003
347355982.795684,7456055261110.42,4.3655220300907,5.21100825892528,2006
1089410317.44598,48769425142265.2,2.52945520915773,8.09929067343271,2012
0.0,2252620408.16327,0.0,0.8,2003
22625000.0,190040702286.917,2.85312437211175,5.316,2007
1519503.13739346,8219768450.42311,2.0490188352116,0.0,2012
1299.99995231628,22798274.9795551,0.0,0.0,2004
2681000.0,120822986521.479,2.936231535967,3.964,2009
2027000.0,86138288644.171,8.13088669523606,5.16,2016
32421000.0,2059241589895.01,7.82341183865513,5.212,2014
7199.99980926514,150500000.0,0.0,0.0,2007
2409000.0,111538810712.665,3.36540196171993,3.857,2006
64606000.0,306999913150.525,2.18379872390258,17.592,2005
984000.0,11668696396.7887,3.85216033315973,7.472,2012
22835000.0,1649827263567.01,1.53234960272418,4.696,2001
25383279.8501855,1159333980552.51,4.61743772241997,0.0,2007
11519000.0,931877364034.196,3.5258051568793,4.301,2016
692000.0,3140166712.79624,3.68901229670766,8.91,2010
385000.0,6087360684.2969,21.0318339277222,0.0,2004
134000.0,12442035339.1049,5.32312847064058,0.0,2012
0.0,3513049500.0,7.81559385858648,0.0,2021
43000.0,204848470.149169,6.32763551411155,0.0,2000
300000.0,2654462665.26893,0.0,3.6,2000
0.0,11857030366.7891,9.82761701259191,0.0,2018
10991000.0,1432606188.69324,0.0,0.0,2000
